words (in Hausa Language),English
Syllabus,Shihan
Symbol kenan,Token
Ta,Her
Ta akasi,Vice versa
Ta baki,Oral
Ta birni,Civic
Ta ceremony,Ceremonial
Ta da,Raise
Ta da hankali,Disconcert
Ta da hankalin,Disturb
Ta dama,Adroit
Ta dan birni,Civic
Ta dan kasa,Civic
Ta dimukuradiya,Democratic
Ta haka,Thus
Ta hanyar muujiza,Miraculously
Ta kewaye,Circuitous
Ta kewayewa,Roundabout
Ta kwanan nan,Recently
Ta mace,Female
Ta mata,Female
Ta sannu-sannu,Gradual
Ta tara,Ninth
Ta wa,Whose
Ta yaya,How
Ta yaya?,How
Ta yiwu,Possible
Ta zancen mutane,Colloquial
Ta’adi,Damage
Ta’aziya,Confort
Taaddanci,Terror
Taaddanci,Terror
Taaddanci-jinsi,Terror-genic
Taadi,Aggressions
Taaziyya,Comfort
Taba,Cigarette
Taba,Cigarette
Taɓa,Contact
Taba barci,Doze
Taba ka lashe,Never win
Taba ka lashe,Never win
Taɓa ka lashe,Never win
Taba ruhi,Inspiration
Taba wa zuciya,Vex
Tababa,Skeptical
Tababbe,Daft
Tabad da,Overlook
Ta-banjama,Clown
Tabar heroin,Heroin
Tabarbarewa,Dysfunction
Tabarbre,Worsen
Tabarma,Mat
Tabaru,Spectacles
Tabarya,Pestle
Taɓarya,Tabarya
Tabawa,Touchy
Taɓawa,Touch
Tabbaci,Guarantee
Tabbas,Assuredly
Tabbata,Certain
Tabbatacce,Convivial
Tabbataccen abu,Fact
Tabbatacciyar kaida,Rubric
Tabbatad da laifi,Condemn
Tabbatar,Ensure
Tabbatar da,Confirmed
Tabbatar rayuwa,Esprit
Tabbatarwa,Ensuring
Tabin hankali,Unipolar
Tabin hankali,Unipolar
Taɓin hankali,Psychiatric
Tabin kwakwalwa,Mania
Tabo,Scar
Tabo mai yauki,Slime
Tabu a hankali,Dote
Tace,Censor
Tacewa,Censored
Tada,Arouse
Tada kayar baya,Insurgent
Tadi,Dialogue
Tadin waiwai,Gossip
Tafa,Applauded
Tafarki,Track
Tafarnuwa,Garlic
Tafasa,Boil
Tafawa,Applause
Tafe,Tiff
Tafi,Leave
Tafi abinka,Begone
Tafi da,Remove
Tafi da sauri,Run
Tafin hannu,Clap
Tafin kafa,Sole
Tafinta,Interpreter
Tafireta,Typewriter
Tafiretan waya,Teleprinter
Tafiya,Walkout
Tafiya a hankali saboda tsufa,Doddering
Tafiya a hargitse,Hobble
Tafiya a kewaye,Circuit
Tafiya mai sauri,Career
Tafiya ta teku,Passage
Tafiyad da,Propel
Tafiyar kasaita,Swagger
Tafiyar maciji,Zigzag
Tafiyar wuni,Jornada
Tafiye-tafiye,Traffic
Tafka asara,Suffering huge losses
Tafki,Pool
Taga,Window
Tagar jirgin ruwa,Port-hole
Tage,Hesitate
Tagiya,Cap
Tagomashi,Favor
Tagulla,Brazen
Tagullar,Copper
Taguwa,Shirt
Taguwa da irinsu,Blouse
Tagwaye,Twat
Tahakiki,Reality
Taho,Come
Taimaka,Help
Taimakawa,Help
Taimake,Help
Taimaki,Abet
Taimako,Aid
Taimakon juna,Co-operation
Taka,Trample
Taka rawa,Role
Taka tsantsan,Wariness
Taka tsan-tsan,Reservations
Takaba,Widow
Takadari,Notorious
Takadarin mutum,Cunts
Takaddama,Litigious
Takaddun shaidar karatu,Qualification
Takaici,Woebegone
Takaita,Summarize
Takaitacce,Concise
Taƙaitacce,Brief
Takaitacciya,Short
Taƙaitacciya,Short
Takaitawa,Summary
Takakke,Trodden
Takala,Challenge
Takalifi,Obligation
Takalman tayoyi,Rented tires
Takalmi,Boot
Takalmi (iri iri),Shoe
Takama,Braggart
Takamaimai,Specific
Taƙamaimai,Definitely
Takamaiman,Vested
Takanɗa,Takanda
Takanta,Manure
Takara,Candidates
Takarda,Paper
Takardar alkawari,Bond
Takardar kira,Summons
Takardar lissafin kaya,Inventory
Takardar odar gado,Will
Takardar shaida,Certificate
Takardar wasici,Testament
Takardar wasiyya,Paper charged
Takardar yabo,Recommendation
Takardun bayanai,Gazette
Takardun shaida,Credential
Takarkari,Ox
Takarkari jami’insa,Ox
Takasi,Taxi
Taka-tsantsan,Careful
Takawa,Tread
Taƙawa,Piety
Take,Title
Take hakki,Violation
Taken,Flagship
Taken babban matsayi,Aga
Taki,Manure
Takin garagajiya,Compost
Takin gonaki,Survey
Takin kashin tsuntsaye,Guano
Takin zamani,Fertilizer
Takobi,Sword
Taksi,Cab
Takuba,Dais
Takunkumi,Censors
Takura,Constrained
Takurawa,Restricts
Takure,Impeded
Takurere,Wrinkled
Takurewa,Wedge
Takwala,Weft
Takwara,Namesake
Takwas,Eight
Talabijin,Tv
Talaka,Poor
Talaka sosai,Poorer
Talakan yaro,Urchin
Talakawa,Destitute
Talakwa,Paupers
Talata,Tuesday
Talatin,Thirty
Talauci,Poverty
Talauta,Impoverish
Talibambam,Tadpoles
Talifi,Composition
Talikai,Creation
Taliki,Being
Talla,Hype
Tallaba,Support
Tallafawa,Supporting
Tallafawa raunana,Dole
Tallafi,Subsidy
Tallafin jari,Bailout
Tallafin karatu,Scholarship
Talotalo,Turkey
Tama,Ore
Ta-macen alade,Sow
Tamanin,Eighty
Tamarind,Tamarin
Tamau,Tight
Tamaula,Shingle
Tambari,Emblem
Tambaya,Interrogated
Tambaye,Asked
Tambayi,Asked
Tambayo,Questions
Tambayoyi,Questions
Tamfol,Tarpaulin
Tamka,Simile
Tamkar,Like
Tamma,Franc
Tamoji alagammana,Wrinkle
Tamu,Our
Tana,Earthworm
Tana kwabe,Saturate
Tanada,Thrifty
Tanade,Provisions
Tanadi,Restoring
Tanadin kuzari,Energy-saving
Tanar ciki,Round-worm
Tanda (ta girki),Oven
Tangaraho,Telephone
Tangarahu,Telegraph
Tangaram,China
Tanhol,Tarpaulin
Tankade,Overturn
Tankin ruwa,Cistern
Tankiya,Conflict
Tankwara,Bend
Tanƙwara,Bend
Tankwasa,Bend
Tanƙwasa,Subservience
Tanning vat,Vat
Tantaɗa,Tantada
Tantama,Doubt
Tantan,Tractor
Tantani,Diaphragm
Tanti,Tent
Tanti-tanti,Camp
Tar,Chronicles
Tara,Piles
Tara (9),Nine
Taraddadi,Anxiety
Taragu,Wagon
Tarakta,Tractor
Tarar kudi,Found money
Tarar kudi,Found money
Tarar kuɗi,Found money
Tarara,Percolate
Tarawa,Hoard
Tarayya,Communion
Tarayyar turai,European union
Tarbe,Intercept
Tarbiyya,Nurture
Tarbiyyar yara,Character
Tare,Repel
Tare da,With
Tare hanya,Obstruction
Tare mahara,Trench
Tare wa,Obstruct
Tarewa,Blocking
Targade,Sprain
Tari,Pileup
Tarihi,History
Tarihin mutum daya,Biography
Tarin abubuwa,Block
Tarin kika,Whooping-cough
Tarin sanyi,Pneumonia
Tariya,Spool
Tarkace,Junk
Tarkacen banza,Trash
Tarko,Trap
Tarko da danginsa,Smare
Tarkon,Traped
Tarkuna,Traps
Tarna,Feud
Tarnaka,Hobble
Tarnaki,Dilemma
Taro,Assembly
Taro don shawara,Palaver
Taron (zuma),Swarm
Taron biki,Ovation
Taron coci,Congregation
Taron jamaa,Horde
Taron masu dawaki,Cavalcade
Taron mawaka,Choir
Taron murna,Jubilee
Taron mutane,Crowd
Taron shawara,Conference
Tartsatsi,Spark
Taru,Congregate
Taru da yawa,Swarm
Tarwatsa,Shattered
Tarwatsa wani abu,Rend
Tarwatse,Disintegrated
Tarwatsewa,Disintegrate
Tarye,Intercept
Tarzoma,Riot
Tasa,Bowl
Tasam ma,Beset
Tasamahara,Rampart
Tasbihi,Glorification
Tasha,Station
Tashe,Holiday
Tashi,Departure
Tashi (tafiya),Start
Tashi daga,Leave
Tashi sama,Fly
Tashi tsaye,Rise
Tashin hankali,Disquiet
Tashin iska,Gust
Tashin jirgin ruwa,Sail
Tashin kiyama,Resurrection
Tashin zuciya,Nauseate
Tashiya,Pitch
Tasiri,Influence
Task,Address
Taska,Treasure
Tasku,Cruelty
Tasmahara da irinta,Fortification
Taso da wata magana,Moot
Tasu,Theirs
Taswira,Picture
Taswirar,Chart
Tata,Refine
Tataka,Hay
Tatsuniya,Myth
Tattabara,Pigeon
Tattabara da danginta,Pigeon
Tattaka,Tattered
Tattaki,Travel
Tattali,Retrenchment
Tattalin arziki,Industry
Tattara,Coll
Tattarewa,Wrinkle
Tattauna,Negotiate
Tattaunawa,Discussion
Tattaunawa tsakanin abokan adawa,Parley
Tattaura,Tough
Tauasaya,Pitied
Taula,Yoke
Tauna,Chew
Taunata,Tobacco
Taunawa,Jolt
Taurara,Harden
Taurari,Starry
Tauraro,Star
Tauraro mai wutsiya,Comet
Tauraron gwamnati,Statesman
Tauraruwa,Hardliner
Tauri,Harshness
Taurin,Hardness
Taurin kai,Obstinate
Taurine zuciya,Grit
Tausa,Massage
Tausasa,Soften
Tausasawa,Warmly
Tausaya wa,Empathize
Tausayawa,Commiserate
Tausayi,Pity
Taushe,Hem
Taushi,Tenderness
Tauye,Shrine
Tawa,Mine
Tawada,Ink
Tawaliu,Humility
Tawayar,Depressed
Tawaye,Rebellion
Tawul,Towel
Taya,Offer
Taya murna,Congrats
Tayar da,Bring up
Tayar da hankali,Seditious
Tayi,Fetid
Tayi fice,Excelled
Tazara,Stark
Tazgada,Tilt
Tease,Fancam
Teba,Overweight
Tebki,Lake
Tebur,Table
Teburin kanti,Counter
Teburin ofis,Bureau
Tef,Tape
Tef na robur,Elastic
Teku,Sea
Tẽku,Sea
Tela,Tailor
Telebijin,Television
Teliho,Telephone
Telihon,Phone
Tent,Thermometer
Theatre,Theater
Them,Research
There kenan,Yonder
Thick,Manufacturing
Ti,Tea
Tib,Tube
Tik,Stark-naked
Tikiti,Ticket
Tilaa,Mendacity
Tilas,Compulsion
Tilasci,Coercion
Tilasta,Coerced
Tilasta wa,Extort
Tilasta yanke hukunci,Crunch
Tilastawa,Coercive
Tilo,Only
Tim,Team
Tinkiya,Training
Tintin,Pouf
Tir,Damnit
Tire,Tray
Tirela (ta mota),Trailer
Tireshi,Terrace
Tirjiya,Tiringly
Titi,Street
Tituna,Streets
Tiyata (ta asibiti),Theatre
To sleep,
Tocila,Flashlight
Tocilan,Torch
Tofa,Spat
Toge,Withdraw
Together,Highway
Togiya,Proviso
Toh ya za ayi,Toh will be
Toho,Sprout
Toka,Ash
Tokara,Support
Toka-toka,Grizzly
Tona,Dig
Tone,Reveal
Tone wa saiwa,Undermine
Tonis,Grapefruit
Toron agwagwa,Drake
Tosashshe,Clogged
Toshe,Clog
Toshe hanyar jini,Atherosclerosis
Toshe hanyoyi,Roadblocks
Toshe wa,Obstruct
Toshewa,Block
Toshewar kai,Blockhead
Toshi,Toshia
Toshiya,Seal
Toto,Cob
Totsiya,Totsa
Totur,Accelerator
Totuwa,Pitch
Totuwa da makamancinsu,Pulp
Touching,Hindi |
Toya,Burn
Toya matsafa,Baked wizards
Toye,Bakers
Toyi,Bonfire
Tozali,Called on
Tozanta,Wastes
Tozarta,Snub
Tozo,Hump
Tract kenan,Trail
Trousers,So pretty
Tsaba,Seeds
Tsabage,Outright
Tsabar kudi,Cash-strapped
Tsabar kudi,Cash-strapped
Tsabar kuɗi,Cash
Tsabga,Stick
Tsabta,Clarity
Tsabtace,Clean
Tsada,Expensive
Tsafi,Fetish
Tsafta,Cleanliness
Tsaftacew,Distillation
Tsaftacewa,Refinement
Tsaf-tsaf,Immaculate
Tsaga,Split
Tsagaita wuta,Truce
Tsage,Torn
Tsagera,Cantankerous
Tsageranci,Militancy
Tsagewa,Rifts
Tsagiya,Bilharzia
Tsai da,Settle
Tsai da shawara,Resolve
Tsaiko,Frame
Tsaka,Middle
Tsakad dare,Midnight
Tsaka-mai-wuya,Intermediate-neck
Tsakani,Interlude
Tsakanin,Inter
Tsakaninsu,Among them
Tsakar dare,Midnight
Tsakar rana,Midday
Tsakatsakanci,Neutrality
Tsaki,Hiss
Tsakiya,Center
Tsakiyar dare,Middle of the night
Tsakiyar rana,Mid-day
Tsakuri,Peck
Tsakuwa,Metal
Tsallaka,Crossing
Tsallake,Omission
Tsalle,Jumpy
"Tsalle daya ake yi a shiga uku, a kuma yi dubu a kasa fita","Jumping into three, a thousand and a ground out"
Tsami,Sour
Tsamin baki,Serious black
Tsamiya,Picketed
Tsammani,Expect
Tsammãni,Hope
Tsammanin,Expectation
Tsamo,Abstract
Tsanani,Seriousness
Tsananin,Stern
Tsananin jin sanyi,Exposure
Tsananin rashin kula,Ramshackle
Tsananta,Aggravate
Tsanantawa,Aggravating
Tsangwama,Molestation
Tsani,Ladder
Tsanki,Colic
Tsanki da makamancinsa,Sperm
Tsantsa,Unadulterated
Tsantsanta,Stupified
Tsantseni,Austerity
Tsanya,Cricket
Tsara,Construct
Tsara da kyau,Cherish
Tsara haruffa,Spelling
Tsararre,Well-managed
Tsararren zance,Oration
Tsararriyar hanya,Procedure
Tsararru,Array
Tsarawa,Appropriation
Tsare,Detain
Tsarewa,Detention
Tsargi,Objection
Tsari,Stereotypical
Tsarin aiki,Schedule
Tsarin allah,Theocratic
Tsarin lissafi,Tally
Tsarin mulki,Bureaucracy
Tsarin mulki irin na italiya,Fascism
Tsarin sunaye,List
Tsarin tattalin arziki daga aluma,Feudal
Tsarkaka,Saintliness
Tsarkakakke,Sanctimonious
Tsarkake,Hallowed
Tsarkake (maganar addini),Sanctify
Tsarkakewa,Purify
Tsarkakke,Pure
Tsarki,Chastity
Tsarma,Dilute
Tsaro,Defense
Tsaron gida,Defense
Tsaron kasa,Defense
Tsatsa,Rust
Tsatso,Earwig
Tsatstsauran mutum,Grim
Tsattsaga,Tear
Tsattsarka,Chaste
Tsattsauran raayi,Extremism
Tsattsewa da danginta,Swift
Tsauce wa,Reprove
Tsauni,Hill
Tsaurara,Harden
Tsaurarawa,Rigorous
Tsauri,Dynamic
Tsaurin ido,Cheek
Tsauta,Rebuke
Tsautsayi,Unforeseen
Tsawa,Boisterous
Tsawaita,Protracted
Tsawaitawa,Upbraid
Tsawanta,Prolong
Tsawata,Rebuke
Tsawatar,Reprove
Tsawatarwa,Scolding
Tsawatawa,Reprimand
Tsawo,Height
Tsawon rai,Longevity
Tsawon-rai,Long-life
Tsaya,Stalled
Tsayar,Upheld
Tsayarwa,Fixture
Tsayawa,Stopping
Tsayawa kadan,Pause
Tsayawar,Standoff
Tsayayya,Resist
Tsayayyar,Vibrant
Tsayayye,Uptight
Tsayayyun sanduna uku na wasan kirket,Wicket
Tsaye,Standstill
Tsayi,Lengthy
Tsayin daka,Undaunted
Tsayiwa,Stand
Tsayu,Rise
Tsayuwa,Pretensions
Tsebebe,Cheekily
Tsefe,Comb
Tsegumi,Gossip
Tserad da,Rescue
Tsere,Escapes
Tsere wa,Outstrip
Tserewa,Escape
Tshohuwar waka,Carol
Tsiba,Hoard
Tsibi,Pile
Tsibiri,Island
Tsige,Impeach
Tsigewa,Impeachment
Tsigi da danginsu,Warbler
Tsila,Tapeworm
Tsima,Steep
Tsimi,Thrift
Tsimi da tanadi,Backup scheduling
Tsinduhu da irinsu,Chilies
Tsine,Damn
Tsini,Point
Tsinka,Pluck
Tsinkaya,Foresight
Tsinkaye,Perceptions
Tsinkayi,Perceive
Tsinke,Pickets
Tsinta,Find
Tsintar,Kingfisher
Tsintsiya,Broom
Tsintsiya madaurinki daya,Entity
Tsintsiya madaurinki daya,Entity
Tsintsiya maɗaurinki ɗaya,Entity
Tsinuwa,Imprecate
Tsira,Survived
Tsira (kalmar addini),Salvation
Tsirad da,Salvage
Tsiraita,Expose
Tsirara,Strip
Tsirari,Minority
Tsiraru,Minority
Tsire,Impale
Tsirkiya,Bowstring
Tsiro,Plant
Tsiro mai yaduwa,Creeper
Tsirowa,Grow
Tsirya,Parakeet
Tsiwa,Insolence
Tsiwuriwurwuri,Project
Tsiya,Misery
Tsnkayi,Foresee
Tsofaffi,Elderly
Tsoho,Antiquated
Tsohon dare,Nightmarishly
Tsohon yayi,Outmoded
Tsohuwa,Aged
Tsohuwar mata mai tsauri,Harridan
Tsoka,Poke
Tsokana,Bullied
Tsokano,Provoked
Tsololo,Tops
Tsoma,Dip
Tsoma baki,Interfere
Tsoma bakin ciki,Dipshit
Tsone,Pierce
Tsorace,Fright
Tsorata,Scare
Tsoratar,Intimidate
Tsoratarwa,Frightening
Tsoro,Afraid
Tsoron,Fear
Tsororuwa,Summit
Tsotsa,Sucked
Tsotse,Suck
Tsufa,Obsolete
Tsuguna,Squat
Tsugune,Squatter
Tsugunna,Kneeled
Tsumangiya,Rod
Tsumma,Lint
Tsummoki,Rags
Tsunduma,Engulf
Tsungula,Pinch
Tsunkule,Pinch
Tsuntsaye,Birds
Tsuntsaye masu farauta,Raptors
Tsuntsu,Bird
Tsuntsun da ya ja ruwa shi ruwa kan doka,Bird flush water bill
Tsuntsun makka,Peacock
Tsuntsuwa,Hen
Tsutsa,Jutter
Tsutsa mai kungiya,Hook worm
Tub,Bedroom
Tuba,Remorselessly
Tuɓa,Converted
Tubabbe,Converted
Tuɓaɓɓe,Converted
Tuɓaɓɓiya,Converts
Tubabbu,Converts
Tuɓaɓɓu,Converts
Tubalan,Blocks
Tubali,Brick
Tubau,Tuba
Tube,Peel
Tuɓe,Tube
Tube tufafi,Undress
Tubka,Plait
Tubka-tubka,Tubka tubka
Tubka-tubka,Tubka tubka
Tubƙa-tubƙa,Tubka tubka
Tubƙeƙe,Tubkeke
Tubƙeƙiya,Tubkekiya
Tudu,Uphill
Tufa,Clothing
Tufafi,Costume
Tufafi na ciki,Underclothing
Tufaniya,Flood
Tufantar,Wear
Tufka,Twist
Tugu,Tugur
Tuguwa,Tugur
Tuhuma,Suspiciously
Tuhumar,Indict
Tuhumce,Suspect
Tuji da danginsu,Bustard
Tuka,Navigate
Tuka (su kwale-kwale),Paddle
Tuki,Driving
Tuƙi,Driving
Tukku,Determined
Tukkum-muzuru,Tukkum-cat
Tukuba,Platform
Tukuɗi,Tukudi
Tukuf-tukuf,Tukuf tukuf
Tukun,Pregnant
Tukuna,Yet
Tukunna,Yet
Tukunya,Pot
Tukunyar baya,Differential
Tukunyar fitsari,Chamber
Tukunyar injin mota,Cylinder
Tukunyar jirgi,Boilerplate
Tukunyar karfe,Saucepan
Tukunyar taba,Pipe
Tukura,Cringe
Tukwance,Pottery
Tukwici,Gratuity
Tukwuici da irinsa,Tip
Tuli,Heap
Tulu,Pitcher
Tumaki,Sheep
Tumatir,Tomato
Tumatur,Tomatoes
Tumbatsa,Overcrowd
Tumbe,Defiance
Tumbi,Stomach
Tumbuke,Overthrow
Tumɓuke,Tumble
Tumtum,Pouf
Tun,Since
Tun ba,Before
Tun da,Since
Tun daga,From
Tun tuni,Since been
Tuna,Recollect
Tuna da,Remember
Tuna wa,Remind
Tunani,Reprehension
Tunata,Remember
Tunatar,Remind
Tunatar da,Remind
Tunatarwa,Reminder
Tunawa,Commemorate
Tunda,Since
Tundumi,Elephantiasis
Tuni,Remember
Tunjere,Syphilis
Tunkara,Addressed
Tunkari,Approach
Tunkiya,Sheep
Tunkuɗe,Repulse
Tunkudewa,Repulsion
Tunkun juda,Civet
Tunkuya,Gore
Tunruben harshe,Mispronounced
Tuntsura,Topple
Tuntsura gudunya,Somersault
Tuntu,Tassel
Tuntuɓe,Stumbled
Tuntube mu,Contact us
Tuntuɓe mu,Contact us
Tuntuben alkalami,Erratum
Tunzura,Exasperated
Tunzurar,Exasperating
Tunzuri,Exasperate
Tura,Pus
Tura kasa,Depress
Tura kuloc,Declutch
Tura magana ciki,Interrupt
Turai,Europe
Turanci,English
Turanci baragada,Pidgin
Turare,Perfume
Turawa,Deploring
Turba,Path
Turɓaya,Dust
Turɓuwa,Turbuwa
Ture,Shove
Turke,Tether
Turken mil,Milestone
Turmi,Mortar
Tursasa,Harassed
Tursasawa,Harass
Tururi,Steam
Tururi da makamancinsa,Vapour
Tusar jaki,Pimple
Tushe,Grounded
Tushiya,Following
Tuta,Flag
Tutar jirgin teku,Ensign
Tutiya,Zinc
Tutturna,Fatted
Tutur,Consecutively
Tuwo,Pitch
Tuzuru,A bachelor's
Uba,Father
Ubakinta,Stepfather
Uban iyali,Patriarchal
Uban rana,Stepfather
Ubangiji,Lord
Ubangijĩ,Lord
Ubangijin,Lord
Ubangijina,Lord
Ubanni,Fathers
Ujila,Direful
Uku,Three
Ukunta,Treble
Uku-uku,Threesome
Ulu,Wool
Ulun,Fleece
Umarni,Enjoin
Umarnin,Injunction
Umarta,Commanded
Umurni,Command
Umurta,Bid
Umurta a rubuce,Prescribe
Ungalu,Vulture
Ungozoma,Midwife
Ungulu,Vulture
Unguwa,Slum
Unguwa (ta gari),Ward
Urbarin bayani,Supurbly
Ushiri,Tithes
Ushirin dukiya,Tithe
Ussi,Foundation
Usur,Whistles
Uwa,Mother
Uwakinta,Stepmother
Uwar gida,Housewife
Uwar gidan bako,Hostess
Uwar kudi,Capital
Uwar rana,Stepmother
Uwar saiwoyi,Tap-root
Uwargida,Mistress
Uwar-goyo,Mother-supported
Uwaye,Moms
Uziri,Excuse
Uzuri,Excuses
Vapour,Vapor
Wa,Who
Waadi,Promised
Waadi,Promised
Waazantarwa,Admonishingly
Waazi,Admonish
Waazi,Admonish
Wabi,Unconscious
Waccan,That
Wacce,Who
Wace,Which
Wada,Dwarf
Waɗa,Wada
Wada ko gajere,Goblin
Wadace,Full
Wadaci,Meets
Wadancan,Those
Waɗancan,Those
Wadanda,Those
Waɗanda,Those
Wadanda abin ya shafa,Victims
Waɗanda ake yi wa aiki,Foreclosures
Wadanda ake zargi,Suspects
Wadannan,These
Wadannan,These
Waɗannan,These
Wadanni,Pygmy
Wadansu,Some
Waɗansu,Some
Wadansu da dama,Several
Wadansu dabam dabam,Various
Wadari,Skein
Waɗari,Fabric
Wadarta,Supply
Waɗarta,Supply
Wadata,Forfeit
Wadata da kai,Smugly
Wadatacce,Ample
Wadatar,Profuse
Wadãtar,Enrich
Wadatar kai,Self-sufficiency
Wadatar zuci,Contentment
Wadatarwa,Enrichment
Wadatu,Content
Wadatuwa da kai,Smug
Wadawada,Profusion
Waɗayi,Wadayi
Wadda,Which
Waɗɗara,Waddara
Waɗɗare,Waddare
Wagunu,"Wagyon, wagon"
Waha,Swimming pool
Wahal da,Afflict
Wahala,Afflicted
Wahala da rashin yanci,Job-killing
Wahalad da,Complicit
Wahalar,Afflict
Wahalar da,Difficulty
Wahalar sarrafuwa,Cumbersome
Wahalarwa,Batter
Wahalhalu,Hardships
Wahami,Illusion
Wahayi,Revelation
Wai,Report
Waiga,Looking back
Waige,Turned to
Waiji,Wedge
Wail,Wael
Waina,Cake
Waiver,Waive
Waiwai,Hearsay
Waiwaya,Turned
Waiwaye adon tafiya,Review travel
Waiwayo,Recalls
Wajaba,Justified
Wajabta,Prescribed
Waje,Outhouse
Wajeje,Towards
Wajen,About
Wajen da jamaa suke yawan shiga,Hive
Wajen dima jiki,The spa
Wajen dima jiki,The spa
Wajen ɗima jiki,The spa
Wajen raino,Nursery
Wajiba,Obligatory
Wajibi,Oblige
Wajila-wajila,Wajila wajila
Waka,Poetic
Waƙa,Lyrical
Wakafi,Comma
Wakana,Occurred
Wakar labari,Ballad
Wakar yabo,Hymn
Waƙar yabo,Hymn
Wakar yabo mai layi 14,Sonnet
Wake,Beans
Waken addini,Gospel
Wake-wake,Speckled
Wakilci,Represented
Wakili,Delegate
Wakili mai yi,Agent
Wakilin isimi,Pronoun
Wakilin suna,Pronoun
Waƙilin suna,Pronoun
Wakilta,Depute
Wakiltarwa,Delegation
Wakusho,Workshop
Walaha,Walah
Walat,Wallet
Wali,Saint
Waliyi,Guardian
Waliyyi,Saint
Waliyyiya,Nun
Walkawa,Glide
Walki,Gleam
Walkiya,Lightning
Walƙiya,Flare
Wallafa,Compose
Walwala,Well-being
Walwalar,Liberalization
Walwali,Shimmer
Wancan,That
Wand ya tankwashe,Beat
Wanda,That
Wanda aka ambata,Abovementioned
Wanda aka amfana,Benefitted
Wanda aka daidaita,Adaptable
Wanda aka dugunzuma,Desperate
Wanda aka fi so,Favorite
Wanda aka ƙwace,Forfeited
Wanda aka tsangwame shi,Pariah
Wanda aka tsare,Detainee
Wanda aka yaudara,Dupe
Wanda ake sassauyawa,Checkered
Wanda ake saurin cutarsa,Gull
Wanda ake so,Likable
Wanda ake zargi,Suspect
Wanda ba a bari,Irresistible
Wanda ba a bayyana ba,Unexplained
Wanda ba a biya ba,Unpaid
Wanda ba a burgeshi,Finicky
Wanda ba a dogara da shi,Streaky
Wanda ba a gama ba,Unfinished
Wanda ba a gode ba,Unappreciated
Wanda ba a hada ba,Unattached
Wanda ba a haifa ba,Unborn
Wanda ba a iya aiki ba,Unworkable
Wanda ba a iya aiki dashi,Inoperable
Wanda ba a iya bayyanawa,Irreplacible
Wanda ba a iya fahimta,Inconceivably
Wanda ba a iya fahimtarsa,Inconceivable
Wanda ba a iya gani,Inadvisable
Wanda ba a iya gani ba,Un-viewable
Wanda ba a iya gaskata shi ba,Unjustifiable
Wanda ba a iya gyara shi,Incorrigible
Wanda ba a iya gyarawa,Irrecoverable
Wanda ba a iya hana shi,Unstoppable
Wanda ba a iya kaiwa gare shi,Unattainable
Wanda ba a iya karantawa,Unreadable
Wanda ba a iya kaunarsa,Unlovable
Wanda ba a iya lissafi,Unaccountable
Wanda ba a iya misaltawa,Inexplicable
Wanda ba a iya raba shi,Inalienable
Wanda ba a iya rarrabewa,Indistinguishable
Wanda ba a iya sanshi ba,Irreproachable
Wanda ba a iya sarrafa shi,Uncontrollable
Wanda ba a iya sarrafawa,Unmanageable
Wanda ba a iya tantancce,Irrepressible
Wanda ba a iya tsammani ba,Unthinkable
Wanda ba a iya warware shi,Irresolvable
Wanda ba a ji,Mutable
Wanda ba a karba ba,Unacceptablely
Wanda ba a nasara a kansa,Unbeatable
Wanda ba a sahhale ba,Unapproved
Wanda ba a san shi ba,Anonymous
Wanda ba a sani ba,Unfamiliar
Wanda ba a so,Unwanted
Wanda ba a tabawa,Untouched
Wanda ba a yarda da shi ba,Unacceptable
Wanda ba a yi,Impracticable
Wanda ba a yi imani da shi ba,Unbelievable
Wanda ba a zata ba,Unexpected
Wanda ba fayyatacce ba,Arcane
Wanda ba makawarsa,Inevitable
Wanda ba ruwansa,Disinterested
Wanda ba shi da mahimmanci,Inconsequential
Wanda ba ya karyewa,Unbroken
Wanda ba ya sauyuwa,Indelible
Wanda ba ya tabuwa,Unaffected
Wanda ba za a iya bayyanawa ba,Inexplainable
Wanda ba za a iya kashe shi ba,Unassailable
Wanda ba za a iya sakewa ba,Irretrievable
Wanda ba za a iya shawo kansa ba,Insurmountable
Wanda ba za a iya tallafawa ba,Insupportable
Wanda ba za a iya tantancewa ba,Indeterminate
Wanda ba za a iya tsammani ba,Unimaginable
Wanda ba zaa iya amfani dashi ba,Unuseable
Wanda ba zaa iya biya ba,Unaffordable
Wanda ba zai iya daidaitawa ba,Irreconcilable
Wanda ba zai iya jurewa ba,Unbearable
Wanda ba zai iya magancewa ba,Irrecoverably
Wanda ba zai iya ragewa ba,Irreducible
Wanda ba zai karye ba,Unbreakable
Wanda ba zai rabu ba,Inextricable
Wanda ba zai yiwu ba,Impermissible
Wanda ba zai yuwu ba,Inexorable
Wanda baa iya amfani dashi,Unuseably
Wanda baa iya gani ba,Unwatchable
Wanda baa so,Undesirable
Wanda babu kamarsa,Unique
